year,month,temperature,sea_level,precipitation_rate,location
1979.916667,11,8.08,0.64,2.0999999999999996,"Tokyo, Japan"
1980,12,5.17,0.6,5.5,"Tokyo, Japan"
1980.083333,1,0.12,0.53,5.6000000000000005,"Tokyo, Japan"
1980.166667,2,-0.38,0.43,3.2,"Tokyo, Japan"
1980.25,3,3.74,0.4,2.8000000000000003,"Tokyo, Japan"
1980.333333,4,10.44,0.41,5.800000000000001,"Tokyo, Japan"
1980.416667,5,14.34,0.46,4.3999999999999995,"Tokyo, Japan"
1980.5,6,16.9,0.52,5.8999999999999995,"Tokyo, Japan"
1980.583333,7,18.93,0.57,4.6,"Tokyo, Japan"
1980.666667,8,22.37,0.6,6.8999999999999995,"Tokyo, Japan"
1980.75,9,19.42,0.63,5.1,"Tokyo, Japan"
1980.833333,10,11.8,0.63,4.300000000000001,"Tokyo, Japan"
1980.916667,11,8.18,0.62,5.800000000000001,"Tokyo, Japan"
1981,12,4.2,0.58,3.2,"Tokyo, Japan"
1981.083333,1,1.66,0.53,4.7,"Tokyo, Japan"
1981.166667,2,0.06,0.45,4.8,"Tokyo, Japan"
1981.25,3,4.1,0.43,4.199999999999999,"Tokyo, Japan"
1981.333333,4,7.37,0.43,6.000000000000001,"Tokyo, Japan"
1981.416667,5,14.04,0.47,4.300000000000001,"Tokyo, Japan"
1981.5,6,17.86,0.52,7.200000000000001,"Tokyo, Japan"
1981.583333,7,23.16,0.58,2.3,"Tokyo, Japan"
1981.666667,8,23.69,0.63,6.2,"Tokyo, Japan"
1981.75,9,19.91,0.66,5.8999999999999995,"Tokyo, Japan"
1981.833333,10,13.45,0.66,7.200000000000001,"Tokyo, Japan"
1981.916667,11,7.95,0.63,2.1999999999999997,"Tokyo, Japan"
1982,12,4.14,0.61,3.3000000000000003,"Tokyo, Japan"
1982.083333,1,0.49,0.56,3.6999999999999997,"Tokyo, Japan"
1982.166667,2,-0.74,0.49,4,"Tokyo, Japan"
1982.25,3,2.98,0.43,3.9,"Tokyo, Japan"
1982.333333,4,7.6,0.41,4.7,"Tokyo, Japan"
1982.416667,5,13.54,0.44,6.2,"Tokyo, Japan"
1982.5,6,16.82,0.5,6.7,"Tokyo, Japan"
1982.583333,7,20.85,0.58,6.499999999999999,"Tokyo, Japan"
1982.666667,8,21.59,0.62,10.2,"Tokyo, Japan"
1982.75,9,18.4,0.65,8,"Tokyo, Japan"
1982.833333,10,13.45,0.65,4.6,"Tokyo, Japan"
1982.916667,11,6.02,0.64,3.9,"Tokyo, Japan"
1983,12,3.47,0.63,5.800000000000001,"Tokyo, Japan"
1983.083333,1,-0.79,0.56,5.1,"Tokyo, Japan"
1983.166667,2,0.65,0.47,5.2,"Tokyo, Japan"
1983.25,3,3.36,0.42,3.8,"Tokyo, Japan"
1983.333333,4,7.85,0.42,3.9,"Tokyo, Japan"
1983.416667,5,14.59,0.47,4.300000000000001,"Tokyo, Japan"
1983.5,6,18.49,0.53,5.3,"Tokyo, Japan"
1983.583333,7,20.65,0.58,10.7,"Tokyo, Japan"
1983.666667,8,22.58,0.62,5.5,"Tokyo, Japan"
1983.75,9,19.6,0.66,8.600000000000001,"Tokyo, Japan"
1983.833333,10,12.7,0.69,3.6000000000000005,"Tokyo, Japan"
1983.916667,11,8.69,0.65,5.2,"Tokyo, Japan"
1984,12,5.86,0.58,4.8,"Tokyo, Japan"
1984.083333,1,0.33,0.49,5,"Tokyo, Japan"
1984.166667,2,-1.71,0.39,5.1,"Tokyo, Japan"
1984.25,3,1.76,0.35,5.6000000000000005,"Tokyo, Japan"
1984.333333,4,9.22,0.38,3.0000000000000004,"Tokyo, Japan"
1984.416667,5,12.34,0.43,6.2,"Tokyo, Japan"
1984.5,6,16.59,0.48,3.4000000000000004,"Tokyo, Japan"
1984.583333,7,17.62,0.53,6.6000000000000005,"Tokyo, Japan"
1984.666667,8,21.39,0.55,5.8999999999999995,"Tokyo, Japan"
1984.75,9,19.65,0.58,12.6,"Tokyo, Japan"
1984.833333,10,13.34,0.58,8.3,"Tokyo, Japan"
1984.916667,11,7.85,0.56,2.1999999999999997,"Tokyo, Japan"
1985,12,4.82,0.54,4.6,"Tokyo, Japan"
1985.083333,1,1.4,0.51,4.199999999999999,"Tokyo, Japan"
1985.166667,2,1.59,0.45,3.0000000000000004,"Tokyo, Japan"
1985.25,3,6.53,0.42,6.000000000000001,"Tokyo, Japan"
1985.333333,4,9.28,0.43,3.6000000000000005,"Tokyo, Japan"
1985.416667,5,14.78,0.47,4,"Tokyo, Japan"
1985.5,6,19.63,0.52,6.000000000000001,"Tokyo, Japan"
1985.583333,7,23.29,0.59,7.9,"Tokyo, Japan"
1985.666667,8,23.59,0.65,4.500000000000001,"Tokyo, Japan"
1985.75,9,21.6,0.68,4.9,"Tokyo, Japan"
1985.833333,10,15.68,0.68,10.500000000000002,"Tokyo, Japan"
1985.916667,11,7.3,0.64,4.6,"Tokyo, Japan"
1986,12,2.46,0.59,3.9,"Tokyo, Japan"
1986.083333,1,1.84,0.54,3.1,"Tokyo, Japan"
1986.166667,2,0.76,0.48,3.4999999999999996,"Tokyo, Japan"
1986.25,3,5.14,0.43,3.4999999999999996,"Tokyo, Japan"
1986.333333,4,9.83,0.43,3.4000000000000004,"Tokyo, Japan"
1986.416667,5,13.82,0.47,5.8999999999999995,"Tokyo, Japan"
1986.5,6,17.3,0.53,9.8,"Tokyo, Japan"
1986.583333,7,21.52,0.6,5.4,"Tokyo, Japan"
1986.666667,8,21.57,0.65,6.4,"Tokyo, Japan"
1986.75,9,19.4,0.69,7.1000000000000005,"Tokyo, Japan"
1986.833333,10,12.88,0.69,5,"Tokyo, Japan"
1986.916667,11,8.7,0.65,3.9,"Tokyo, Japan"
1987,12,5.54,0.6,6.7,"Tokyo, Japan"
1987.083333,1,3.18,0.52,4.6,"Tokyo, Japan"
1987.166667,2,0.19,0.44,4.3999999999999995,"Tokyo, Japan"
1987.25,3,6.02,0.41,4.199999999999999,"Tokyo, Japan"
1987.333333,4,8.53,0.44,3.6000000000000005,"Tokyo, Japan"
1987.416667,5,12.68,0.47,3.9,"Tokyo, Japan"
1987.5,6,18.88,0.52,2.0999999999999996,"Tokyo, Japan"
1987.583333,7,21.98,0.58,4.3999999999999995,"Tokyo, Japan"
1987.666667,8,23.19,0.65,3.4999999999999996,"Tokyo, Japan"
1987.75,9,19.44,0.69,2.0999999999999996,"Tokyo, Japan"
1987.833333,10,15.46,0.7,4.1000000000000005,"Tokyo, Japan"
1987.916667,11,8.66,0.67,6.4,"Tokyo, Japan"
1988,12,3.95,0.59,6.6000000000000005,"Tokyo, Japan"
1988.083333,1,0.48,0.5,4.8,"Tokyo, Japan"
1988.166667,2,0.12,0.42,3.1,"Tokyo, Japan"
1988.25,3,6.34,0.42,5.7,"Tokyo, Japan"
1988.333333,4,9.25,0.44,6.3,"Tokyo, Japan"
1988.416667,5,13.62,0.48,4.9,"Tokyo, Japan"
1988.5,6,18.31,0.5,4.300000000000001,"Tokyo, Japan"
1988.583333,7,20.33,0.55,5.2,"Tokyo, Japan"
1988.666667,8,23.85,0.58,3.3000000000000003,"Tokyo, Japan"
1988.75,9,18.14,0.62,6.999999999999999,"Tokyo, Japan"
1988.833333,10,12.81,0.62,3.6000000000000005,"Tokyo, Japan"
1988.916667,11,8.92,0.59,4.199999999999999,"Tokyo, Japan"
1989,12,4.47,0.56,3.4999999999999996,"Tokyo, Japan"
1989.083333,1,2.55,0.51,4.7,"Tokyo, Japan"
1989.166667,2,1.69,0.48,4.8,"Tokyo, Japan"
1989.25,3,6.49,0.48,3.2,"Tokyo, Japan"
1989.333333,4,10.94,0.52,6.000000000000001,"Tokyo, Japan"
1989.416667,5,13.58,0.56,5.4,"Tokyo, Japan"
1989.5,6,18.69,0.59,5.2,"Tokyo, Japan"
1989.583333,7,22.98,0.62,7.3999999999999995,"Tokyo, Japan"
1989.666667,8,21.89,0.64,2.5,"Tokyo, Japan"
1989.75,9,18.67,0.66,3.4000000000000004,"Tokyo, Japan"
1989.833333,10,14.91,0.64,4.7,"Tokyo, Japan"
1989.916667,11,9.47,0.62,5.8999999999999995,"Tokyo, Japan"
1990,12,5.73,0.58,2.7,"Tokyo, Japan"
1990.083333,1,3.82,0.54,4.500000000000001,"Tokyo, Japan"
1990.166667,2,4.28,0.52,3.6000000000000005,"Tokyo, Japan"
1990.25,3,6.19,0.5,6.1,"Tokyo, Japan"
1990.333333,4,11.83,0.5,3.4999999999999996,"Tokyo, Japan"
1990.416667,5,14.16,0.53,4.9,"Tokyo, Japan"
1990.5,6,16.99,0.57,5,"Tokyo, Japan"
1990.583333,7,22.62,0.62,2.7,"Tokyo, Japan"
1990.666667,8,24.73,0.67,6.800000000000001,"Tokyo, Japan"
1990.75,9,20.91,0.7,8.200000000000001,"Tokyo, Japan"
1990.833333,10,15.4,0.72,4,"Tokyo, Japan"
1990.916667,11,9.11,0.7,3.0000000000000004,"Tokyo, Japan"
1991,12,3.53,0.64,6.4,"Tokyo, Japan"
1991.083333,1,1.6,0.58,4,"Tokyo, Japan"
1991.166667,2,2.59,0.53,3.6999999999999997,"Tokyo, Japan"
1991.25,3,3.97,0.49,3.6000000000000005,"Tokyo, Japan"
1991.333333,4,10.07,0.49,3.2,"Tokyo, Japan"
1991.416667,5,13.46,0.53,5.2,"Tokyo, Japan"
1991.5,6,18.53,0.58,3.1,"Tokyo, Japan"
1991.583333,7,22.56,0.63,3.4000000000000004,"Tokyo, Japan"
1991.666667,8,23.61,0.67,6.4,"Tokyo, Japan"
1991.75,9,20.08,0.69,4.500000000000001,"Tokyo, Japan"
1991.833333,10,14.88,0.7,4.8,"Tokyo, Japan"
1991.916667,11,10.62,0.67,4.300000000000001,"Tokyo, Japan"
1992,12,6.73,0.63,5.8999999999999995,"Tokyo, Japan"
1992.083333,1,4.56,0.58,4,"Tokyo, Japan"
1992.166667,2,1.45,0.49,6.2,"Tokyo, Japan"
1992.25,3,5.99,0.45,5,"Tokyo, Japan"
1992.333333,4,8.54,0.47,6.7,"Tokyo, Japan"
1992.416667,5,13.5,0.5,4.6,"Tokyo, Japan"
1992.5,6,16.04,0.55,5.6000000000000005,"Tokyo, Japan"
1992.583333,7,19.8,0.59,3.4999999999999996,"Tokyo, Japan"
1992.666667,8,23.16,0.64,4.6,"Tokyo, Japan"
1992.75,9,19.05,0.68,9.3,"Tokyo, Japan"
1992.833333,10,13.98,0.71,4.9,"Tokyo, Japan"
1992.916667,11,8.89,0.68,3.3000000000000003,"Tokyo, Japan"
1993,12,4.96,0.63,4.199999999999999,"Tokyo, Japan"
1993.083333,1,3.06,0.57,5,"Tokyo, Japan"
1993.166667,2,1.78,0.51,5.1,"Tokyo, Japan"
1993.25,3,2.64,0.48,4.500000000000001,"Tokyo, Japan"
1993.333333,4,9.85,0.52,4.199999999999999,"Tokyo, Japan"
1993.416667,5,15.21,0.57,4.1000000000000005,"Tokyo, Japan"
1993.5,6,19.06,0.61,6.800000000000001,"Tokyo, Japan"
1993.583333,7,20.96,0.66,7.5,"Tokyo, Japan"
1993.666667,8,22.77,0.69,9.1,"Tokyo, Japan"
1993.75,9,20.71,0.72,9.899999999999999,"Tokyo, Japan"
1993.833333,10,13.99,0.72,5,"Tokyo, Japan"
1993.916667,11,7.91,0.71,2.8000000000000003,"Tokyo, Japan"
1994,12,3.86,0.67,3.0000000000000004,"Tokyo, Japan"
1994.083333,1,2.09,0.61,4.7,"Tokyo, Japan"
1994.166667,2,2.32,0.55,6.3,"Tokyo, Japan"
1994.25,3,3.78,0.5,6.3,"Tokyo, Japan"
1994.333333,4,11.13,0.5,4.6,"Tokyo, Japan"
1994.416667,5,13.8,0.56,5.4,"Tokyo, Japan"
1994.5,6,17.58,0.62,7.3999999999999995,"Tokyo, Japan"
1994.583333,7,22.94,0.67,4.9,"Tokyo, Japan"
1994.666667,8,24.39,0.72,7.9,"Tokyo, Japan"
1994.75,9,18.63,0.75,7.7,"Tokyo, Japan"
1994.833333,10,13.85,0.74,1.2,"Tokyo, Japan"
1994.916667,11,8.69,0.7,4.9,"Tokyo, Japan"
1995,12,4.78,0.64,3.4999999999999996,"Tokyo, Japan"
1995.083333,1,3.47,0.58,3.4999999999999996,"Tokyo, Japan"
1995.166667,2,5.52,0.53,4.8,"Tokyo, Japan"
1995.25,3,5.09,0.49,5.800000000000001,"Tokyo, Japan"
1995.333333,4,10.12,0.49,4.7,"Tokyo, Japan"
1995.416667,5,15.3,0.53,6.000000000000001,"Tokyo, Japan"
1995.5,6,17.3,0.58,8.1,"Tokyo, Japan"
1995.583333,7,21.45,0.64,5.8999999999999995,"Tokyo, Japan"
1995.666667,8,23.93,0.68,2.3,"Tokyo, Japan"
1995.75,9,20.11,0.72,5.800000000000001,"Tokyo, Japan"
1995.833333,10,14.68,0.73,2.5,"Tokyo, Japan"
1995.916667,11,9.76,0.71,5,"Tokyo, Japan"
1996,12,6.89,0.66,9.000000000000002,"Tokyo, Japan"
1996.083333,1,2.61,0.59,5.1,"Tokyo, Japan"
1996.166667,2,3.21,0.52,5.2,"Tokyo, Japan"
1996.25,3,3.65,0.49,5.7,"Tokyo, Japan"
1996.333333,4,9.99,0.49,5.8999999999999995,"Tokyo, Japan"
1996.416667,5,13.94,0.51,6.7,"Tokyo, Japan"
1996.5,6,15.95,0.56,2.9000000000000004,"Tokyo, Japan"
1996.583333,7,20.14,0.61,5.3,"Tokyo, Japan"
1996.666667,8,22.14,0.66,10,"Tokyo, Japan"
1996.75,9,18.8,0.7,5.5,"Tokyo, Japan"
1996.833333,10,14.54,0.71,4.8,"Tokyo, Japan"
1996.916667,11,10.08,0.69,5,"Tokyo, Japan"
1997,12,7,0.66,5.2,"Tokyo, Japan"
1997.083333,1,3.68,0.59,3.9,"Tokyo, Japan"
1997.166667,2,1.9,0.49,3.9,"Tokyo, Japan"
1997.25,3,5.25,0.44,6.000000000000001,"Tokyo, Japan"
1997.333333,4,9.15,0.43,4.199999999999999,"Tokyo, Japan"
1997.416667,5,12.46,0.45,8.1,"Tokyo, Japan"
1997.5,6,17.73,0.49,4.9,"Tokyo, Japan"
1997.583333,7,21.33,0.54,10.7,"Tokyo, Japan"
1997.666667,8,22.83,0.58,6.6000000000000005,"Tokyo, Japan"
1997.75,9,20.08,0.61,9.1,"Tokyo, Japan"
1997.833333,10,13.94,0.62,7.1000000000000005,"Tokyo, Japan"
1997.916667,11,9.3,0.6,3.6000000000000005,"Tokyo, Japan"
1998,12,4.87,0.56,3.0000000000000004,"Tokyo, Japan"
1998.083333,1,1.16,0.5,3.8,"Tokyo, Japan"
1998.166667,2,2.35,0.45,6.4,"Tokyo, Japan"
1998.25,3,5.99,0.43,5.1,"Tokyo, Japan"
1998.333333,4,10.82,0.44,4.1000000000000005,"Tokyo, Japan"
1998.416667,5,13.66,0.48,4,"Tokyo, Japan"
1998.5,6,18.55,0.53,6.999999999999999,"Tokyo, Japan"
1998.583333,7,20.25,0.58,9.899999999999999,"Tokyo, Japan"
1998.666667,8,23.3,0.6,11.299999999999999,"Tokyo, Japan"
1998.75,9,20.62,0.61,10.7,"Tokyo, Japan"
1998.833333,10,15.21,0.59,9.2,"Tokyo, Japan"
1998.916667,11,9.08,0.56,2.6,"Tokyo, Japan"
1999,12,4.83,0.52,3.6000000000000005,"Tokyo, Japan"
1999.083333,1,2.52,0.47,5.1,"Tokyo, Japan"
1999.166667,2,1.39,0.41,4.3999999999999995,"Tokyo, Japan"
1999.25,3,4.83,0.37,4.7,"Tokyo, Japan"
1999.333333,4,11.49,0.4,2.8000000000000003,"Tokyo, Japan"
1999.416667,5,14.52,0.46,5.5,"Tokyo, Japan"
1999.5,6,17.79,0.52,4.300000000000001,"Tokyo, Japan"
1999.583333,7,22.63,0.58,5.5,"Tokyo, Japan"
1999.666667,8,21.91,0.61,4.3999999999999995,"Tokyo, Japan"
1999.75,9,19.17,0.62,3.1,"Tokyo, Japan"
1999.833333,10,13.85,0.62,5.3,"Tokyo, Japan"
1999.916667,11,8.24,0.61,3.0000000000000004,"Tokyo, Japan"
2000,12,5.48,0.57,3.6999999999999997,"Tokyo, Japan"
2000.083333,1,2.01,0.5,4.300000000000001,"Tokyo, Japan"
2000.166667,2,2.75,0.45,4,"Tokyo, Japan"
2000.25,3,4.09,0.42,4.1000000000000005,"Tokyo, Japan"
2000.333333,4,10.32,0.43,5.6000000000000005,"Tokyo, Japan"
2000.416667,5,13.69,0.46,3.9,"Tokyo, Japan"
2000.5,6,17.67,0.52,6.800000000000001,"Tokyo, Japan"
2000.583333,7,22.33,0.57,8.1,"Tokyo, Japan"
2000.666667,8,23.09,0.63,8.1,"Tokyo, Japan"
2000.75,9,19.36,0.67,3.6999999999999997,"Tokyo, Japan"
2000.833333,10,14.41,0.67,2.7,"Tokyo, Japan"
2000.916667,11,10.5,0.66,4.7,"Tokyo, Japan"
2001,12,5.94,0.6,3.6999999999999997,"Tokyo, Japan"
2001.083333,1,2.42,0.54,3.4999999999999996,"Tokyo, Japan"
2001.166667,2,2.53,0.48,5.1,"Tokyo, Japan"
2001.25,3,4.11,0.45,4.9,"Tokyo, Japan"
2001.333333,4,8.6,0.46,6.8999999999999995,"Tokyo, Japan"
2001.416667,5,14.31,0.49,6.499999999999999,"Tokyo, Japan"
2001.5,6,17.55,0.55,5.8999999999999995,"Tokyo, Japan"
2001.583333,7,22.16,0.6,5.5,"Tokyo, Japan"
2001.666667,8,23.18,0.64,4.7,"Tokyo, Japan"
2001.75,9,18.97,0.68,6.3,"Tokyo, Japan"
2001.833333,10,14.37,0.67,8.7,"Tokyo, Japan"
2001.916667,11,9.09,0.63,3.4000000000000004,"Tokyo, Japan"
2002,12,6.08,0.59,5.1,"Tokyo, Japan"
2002.083333,1,2.7,0.53,4.300000000000001,"Tokyo, Japan"
2002.166667,2,0.07,0.44,3.2,"Tokyo, Japan"
2002.25,3,4.97,0.43,4,"Tokyo, Japan"
2002.333333,4,9.28,0.45,4.199999999999999,"Tokyo, Japan"
2002.416667,5,14.01,0.49,4.1000000000000005,"Tokyo, Japan"
2002.5,6,15.69,0.53,5.8999999999999995,"Tokyo, Japan"
2002.583333,7,20.57,0.56,4.300000000000001,"Tokyo, Japan"
2002.666667,8,23.38,0.59,2.7,"Tokyo, Japan"
2002.75,9,18.84,0.63,7.6,"Tokyo, Japan"
2002.833333,10,13.09,0.64,1.4000000000000001,"Tokyo, Japan"
2002.916667,11,11.18,0.61,6.000000000000001,"Tokyo, Japan"
2003,12,5.13,0.56,4.6,"Tokyo, Japan"
2003.083333,1,-0.23,0.48,5.1,"Tokyo, Japan"
2003.166667,2,0.35,0.41,4.300000000000001,"Tokyo, Japan"
2003.25,3,4.38,0.39,4.6,"Tokyo, Japan"
2003.333333,4,9.14,0.41,2.7,"Tokyo, Japan"
2003.416667,5,14.01,0.44,3.3000000000000003,"Tokyo, Japan"
2003.5,6,18.37,0.48,6.499999999999999,"Tokyo, Japan"
2003.583333,7,21.3,0.53,6.000000000000001,"Tokyo, Japan"
2003.666667,8,22.74,0.59,6.6000000000000005,"Tokyo, Japan"
2003.75,9,18.66,0.62,2.6,"Tokyo, Japan"
2003.833333,10,14.71,0.61,3.6000000000000005,"Tokyo, Japan"
2003.916667,11,7.99,0.6,5.4,"Tokyo, Japan"
2004,12,3.91,0.59,4.199999999999999,"Tokyo, Japan"
2004.083333,1,3.02,0.56,4.1000000000000005,"Tokyo, Japan"
2004.166667,2,1.03,0.52,4.6,"Tokyo, Japan"
2004.25,3,4.68,0.5,5.1,"Tokyo, Japan"
2004.333333,4,10.13,0.51,6.000000000000001,"Tokyo, Japan"
2004.416667,5,14.94,0.54,1.6,"Tokyo, Japan"
2004.5,6,17.75,0.59,7.9,"Tokyo, Japan"
2004.583333,7,22.98,0.65,6.7,"Tokyo, Japan"
2004.666667,8,23.96,0.69,8.399999999999999,"Tokyo, Japan"
2004.75,9,20.37,0.71,9.700000000000001,"Tokyo, Japan"
2004.833333,10,14.89,0.71,5.800000000000001,"Tokyo, Japan"
2004.916667,11,9.93,0.68,4.500000000000001,"Tokyo, Japan"
2005,12,5.18,0.62,7.3,"Tokyo, Japan"
2005.083333,1,3.35,0.54,4.500000000000001,"Tokyo, Japan"
2005.166667,2,2.53,0.47,4.6,"Tokyo, Japan"
2005.25,3,4.33,0.45,6.6000000000000005,"Tokyo, Japan"
2005.333333,4,8.84,0.44,4.3999999999999995,"Tokyo, Japan"
2005.416667,5,14.98,0.47,4.8,"Tokyo, Japan"
2005.5,6,16.6,0.52,9.3,"Tokyo, Japan"
2005.583333,7,21.24,0.57,6.999999999999999,"Tokyo, Japan"
2005.666667,8,21.09,0.61,3.1,"Tokyo, Japan"
2005.75,9,20.44,0.63,8.5,"Tokyo, Japan"
2005.833333,10,14.96,0.64,10.7,"Tokyo, Japan"
2005.916667,11,9.67,0.64,2.0999999999999996,"Tokyo, Japan"
2006,12,6.02,0.61,6.000000000000001,"Tokyo, Japan"
2006.083333,1,3.98,0.57,3.4999999999999996,"Tokyo, Japan"
2006.166667,2,1.72,0.51,4.3999999999999995,"Tokyo, Japan"
2006.25,3,4.22,0.45,4.199999999999999,"Tokyo, Japan"
2006.333333,4,9.96,0.47,5.4,"Tokyo, Japan"
2006.416667,5,15.41,0.5,3.3000000000000003,"Tokyo, Japan"
2006.5,6,18.21,0.56,6.1,"Tokyo, Japan"
2006.583333,7,22.67,0.61,4,"Tokyo, Japan"
2006.666667,8,23.94,0.65,7.8,"Tokyo, Japan"
2006.75,9,19.92,0.69,6.800000000000001,"Tokyo, Japan"
2006.833333,10,13.39,0.7,1.9,"Tokyo, Japan"
2006.916667,11,11.1,0.66,5.800000000000001,"Tokyo, Japan"
2007,12,7.78,0.62,5,"Tokyo, Japan"
2007.083333,1,1.47,0.55,7.5,"Tokyo, Japan"
2007.166667,2,0.65,0.45,6.800000000000001,"Tokyo, Japan"
2007.25,3,6.17,0.44,6.1,"Tokyo, Japan"
2007.333333,4,9.63,0.48,5.3,"Tokyo, Japan"
2007.416667,5,13.53,0.51,6.3,"Tokyo, Japan"
2007.5,6,18.53,0.55,5.8999999999999995,"Tokyo, Japan"
2007.583333,7,21.35,0.59,5.6000000000000005,"Tokyo, Japan"
2007.666667,8,22.46,0.62,9.700000000000001,"Tokyo, Japan"
2007.75,9,19.63,0.63,6.000000000000001,"Tokyo, Japan"
2007.833333,10,15.03,0.64,3.3000000000000003,"Tokyo, Japan"
2007.916667,11,8.71,0.63,5.7,"Tokyo, Japan"
2008,12,5.01,0.59,3.6000000000000005,"Tokyo, Japan"
2008.083333,1,3.15,0.55,4.3999999999999995,"Tokyo, Japan"
2008.166667,2,1.23,0.49,5.8999999999999995,"Tokyo, Japan"
2008.25,3,4.58,0.46,5.1,"Tokyo, Japan"
2008.333333,4,11.55,0.48,6.999999999999999,"Tokyo, Japan"
2008.416667,5,14.69,0.54,6.499999999999999,"Tokyo, Japan"
2008.5,6,17.99,0.6,5.3,"Tokyo, Japan"
2008.583333,7,21.2,0.64,10.8,"Tokyo, Japan"
2008.666667,8,22.83,0.68,6.2,"Tokyo, Japan"
2008.75,9,19.2,0.7,6.999999999999999,"Tokyo, Japan"
2008.833333,10,14.91,0.71,4.8,"Tokyo, Japan"
2008.916667,11,8.43,0.69,4.1000000000000005,"Tokyo, Japan"
2009,12,4.32,0.66,3.6999999999999997,"Tokyo, Japan"
2009.083333,1,2.37,0.59,6.1,"Tokyo, Japan"
2009.166667,2,2.8,0.55,5.3,"Tokyo, Japan"
2009.25,3,3.65,0.5,6.3,"Tokyo, Japan"
2009.333333,4,9.82,0.47,3.8,"Tokyo, Japan"
2009.416667,5,15.49,0.5,5.3,"Tokyo, Japan"
2009.5,6,20.28,0.55,5.1,"Tokyo, Japan"
2009.583333,7,23.52,0.62,3.8,"Tokyo, Japan"
2009.666667,8,24.61,0.67,5.4,"Tokyo, Japan"
2009.75,9,22.3,0.7,6.499999999999999,"Tokyo, Japan"
2009.833333,10,15.36,0.72,10.6,"Tokyo, Japan"
2009.916667,11,12.36,0.7,3.3000000000000003,"Tokyo, Japan"
2010,12,5.66,0.64,5.3,"Tokyo, Japan"
2010.083333,1,2.84,0.53,4.199999999999999,"Tokyo, Japan"
2010.166667,2,1.85,0.45,4.199999999999999,"Tokyo, Japan"
2010.25,3,6.51,0.4,4.7,"Tokyo, Japan"
2010.333333,4,11.03,0.41,5.7,"Tokyo, Japan"
2010.416667,5,15.15,0.47,5.6000000000000005,"Tokyo, Japan"
2010.5,6,16.85,0.53,10.7,"Tokyo, Japan"
2010.583333,7,21.18,0.58,3.1,"Tokyo, Japan"
